id;created_at;body;locale;author/id;author/name;alignment;depth;user_group/id;user_group/name/en;user_group/name/ca;user_group/name/es;commentable_id;commentable_type;root_commentable_url;user_group/name
1;2025-01-29 11:08:12 UTC;Optio quos reiciendis qui et dignissimos et porro tempora qui at quis eum perspiciatis deserunt explicabo dicta ea atque ut quisquam dolore illo voluptates consequuntur iure illum voluptatum quasi eaque consequatur similique quidem nesciunt hic aut aut cum est aut et dolor voluptatem sit nobis nisi itaque laborum neque et.;en;2;Kristofer Mitchell;0;0;;"";"";"";1;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/1;
2;2025-01-29 11:08:13 UTC;Possimus aspernatur animi nesciunt doloremque ut blanditiis provident aut temporibus est et alias assumenda odio deleniti quisquam sed laudantium doloribus nisi in id placeat sed aliquam repellendus similique vero et dolorem ipsa velit nostrum eius quo ut magnam sit iste molestias sit fugit tempora corrupti amet distinctio suscipit totam eos.;en;13;Prof. Jenni Bruen;0;0;;"";"";"";2;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/2;
3;2025-01-29 11:08:13 UTC;Hic dolorem aliquam repellat aut occaecati totam vitae a et autem error aut sit quidem omnis quam dolor suscipit qui perferendis aut eos voluptas repudiandae quo omnis quis porro corporis et soluta consequatur aspernatur est adipisci laudantium aperiam cupiditate qui ratione ut officia quia impedit quaerat numquam officiis nesciunt nihil.;en;4;Birgit Schinner II;0;0;;"";"";"";2;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/2;
4;2025-01-29 11:08:13 UTC;Aliquam voluptatum vero quia et ducimus nobis qui hic at cumque labore non tempora minima accusantium molestias eveniet est et quo cum perspiciatis ea et et magnam amet numquam incidunt perferendis animi ut molestiae quis esse temporibus et reiciendis sed quae necessitatibus laboriosam dicta autem exercitationem dolores nisi non aut.;en;14;Dr. Robby Gislason;0;1;;"";"";"";3;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/2;
5;2025-01-29 11:08:13 UTC;Quo est optio neque aliquid fuga sed provident non et ea possimus maiores unde doloremque sunt ea qui aut nihil laudantium quos odit iusto quibusdam ut debitis voluptas officia doloribus aut recusandae omnis fugit reiciendis quisquam dolore eligendi laboriosam consequatur vitae qui cupiditate ex sapiente enim amet omnis ipsam voluptas.;en;13;Prof. Jenni Bruen;0;0;;"";"";"";2;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/2;
6;2025-01-29 11:08:13 UTC;Non adipisci veniam et autem dolor et aut et eum nostrum suscipit eligendi qui velit voluptas fugit ea vel quo saepe ex deleniti deserunt quas et excepturi sit accusantium dignissimos nobis numquam praesentium similique iusto expedita dolores commodi hic odit minus nihil rem ut placeat omnis est molestiae error voluptas.;en;14;Dr. Robby Gislason;0;1;;"";"";"";5;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/2;
7;2025-01-29 11:08:14 UTC;Qui laboriosam autem atque ipsa ut ut porro excepturi qui laudantium incidunt accusantium et provident distinctio sed voluptatem non a et amet quia quasi dolores delectus deserunt odit laborum quibusdam voluptate minus sapiente voluptas facere quas nostrum quam aliquid voluptas voluptatem error sunt voluptas maiores et assumenda omnis pariatur architecto.;en;13;Prof. Jenni Bruen;0;0;;"";"";"";3;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/3;
8;2025-01-29 11:08:14 UTC;Ut minima impedit quia molestiae qui non tempore molestias harum debitis facilis facere velit et quo rerum et veritatis sed eaque necessitatibus in sunt quo architecto aut commodi magnam qui praesentium aut qui ullam est rerum vel dolorem delectus fugit repudiandae ut et dignissimos qui dolorem enim vero inventore laboriosam.;en;14;Dr. Robby Gislason;0;1;;"";"";"";7;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/3;
9;2025-01-29 11:08:14 UTC;Non et qui libero ut enim similique esse cupiditate ipsam porro ut fugiat aut magnam ullam qui qui sunt voluptas amet est nobis quia eveniet veritatis quis veniam laborum ut magni totam voluptate et repellat eum voluptatem iste doloribus exercitationem omnis aut harum sed omnis ex alias sit voluptatibus quas.;en;3;Morgan Hand Esq.;0;0;10;;;;3;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/3;Bernier and Sons
10;2025-01-29 11:08:14 UTC;Rerum consequuntur adipisci incidunt pariatur dignissimos repellendus distinctio sint aliquam et sunt et ab ipsa id repudiandae beatae est aut ipsum qui unde molestias similique sed tenetur cupiditate perspiciatis autem veritatis et est totam non quod maiores hic minima et modi voluptatibus voluptatem qui vitae accusantium rerum dicta laborum sed.;en;3;Morgan Hand Esq.;0;0;10;;;;3;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/3;Bernier and Sons
11;2025-01-29 11:08:14 UTC;Consequatur aut vel repellendus ipsam quis maxime temporibus quidem et dolorem rerum ut architecto impedit distinctio placeat rerum esse sit atque magni veniam quaerat omnis molestiae quibusdam dolore accusantium voluptatibus facere hic nam in blanditiis dolorem et sed dignissimos qui possimus illum et sed optio fugiat voluptatem tempora nostrum aut.;en;2;Kristofer Mitchell;0;1;8;;;;10;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/3;Schiller Inc
12;2025-01-29 11:08:14 UTC;Aspernatur eius eos libero qui architecto veniam totam aliquid magnam asperiores perspiciatis assumenda in delectus id animi dolorem quidem quae maiores et nobis repellat aut velit quam vel aut accusamus quasi eaque rerum sint quas nihil ut praesentium incidunt quod in non qui vel unde aperiam ipsum molestiae quibusdam voluptatem.;en;16;Gov. Genaro Terry;0;0;;"";"";"";3;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/3;
13;2025-01-29 11:08:14 UTC;Mollitia non quod deleniti sed aut nesciunt ut perferendis commodi ut tenetur voluptatibus itaque omnis est qui doloremque sequi et facilis sed molestias eos neque culpa et repellendus et quidem ea ipsam beatae occaecati quia quis eveniet incidunt voluptatem ipsa exercitationem adipisci sint aut rerum dolores voluptas earum ut unde.;en;13;Prof. Jenni Bruen;0;0;;"";"";"";4;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/4;
14;2025-01-29 11:08:15 UTC;Eligendi pariatur veniam et nihil autem quis et veritatis nisi voluptas reprehenderit eius similique quos omnis tempore reiciendis soluta qui laborum cum ipsum quia minus ut distinctio eum nobis sapiente odit ut sit debitis sequi nesciunt occaecati provident sit velit quo ipsam vitae dolorum et est animi et atque aut.;en;16;Gov. Genaro Terry;0;1;;"";"";"";13;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/4;
15;2025-01-29 11:08:15 UTC;Eum porro temporibus quia nesciunt cupiditate exercitationem laboriosam qui quo voluptates provident voluptatem vel excepturi aspernatur distinctio est harum odio dicta iste eos illum id deleniti soluta ut labore laborum neque quia amet velit consequatur quasi debitis tenetur voluptas reprehenderit rem et fuga quaerat sunt accusamus enim et necessitatibus est.;en;16;Gov. Genaro Terry;0;0;;"";"";"";4;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/4;
16;2025-01-29 11:08:15 UTC;Deleniti animi sint et qui voluptates perferendis sit repellat vitae aut maxime sed est dolorum expedita similique laborum aliquam quos inventore est maiores et odio cumque praesentium adipisci alias incidunt ipsum delectus dolores dolore doloribus ut et architecto aliquid sed eos assumenda occaecati ut aperiam ut accusamus pariatur hic qui.;en;3;Morgan Hand Esq.;0;0;;"";"";"";4;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/4;
17;2025-01-29 11:08:15 UTC;Omnis aspernatur asperiores et harum dolorem rerum aut dolore delectus qui rerum vero sed facere architecto illum exercitationem voluptas sequi ratione natus quis odit voluptatibus beatae fugit aut et eos laboriosam et est tempora repellendus est rem id temporibus voluptates in inventore commodi nihil et dolor autem fuga dolores ipsam.;en;16;Gov. Genaro Terry;0;0;;"";"";"";5;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;
18;2025-01-29 11:08:15 UTC;Incidunt molestiae voluptatum est esse temporibus aspernatur minus est hic sit omnis et repellendus a facilis ipsam provident cupiditate inventore ut eveniet et error ad maxime nobis ut consequuntur impedit nemo optio et voluptatem ducimus quidem dignissimos natus cumque sint id odio velit aperiam autem consectetur laborum rerum similique libero.;en;14;Dr. Robby Gislason;0;0;;"";"";"";5;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;
19;2025-01-29 11:08:16 UTC;Hic quibusdam sit ducimus eius est nihil dolorem numquam et ipsam esse corporis quo et aliquam distinctio commodi voluptas explicabo deleniti quasi perferendis odit animi veritatis possimus fuga quia nisi occaecati ea nostrum eos fugiat vel in ut qui minima dolores est enim aut repellendus laborum voluptatem qui sed id.;en;15;Belle Botsford;0;0;;"";"";"";5;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;
20;2025-01-29 11:08:16 UTC;Et id necessitatibus et dolores sunt nisi id omnis non laudantium repudiandae accusamus sit incidunt aliquid et voluptatibus consequatur quas esse velit sint fugiat dolor rerum illum facere doloribus qui in harum cumque aut omnis tenetur consequatur quisquam vero sed possimus nulla repellendus alias est placeat dicta pariatur nihil minima.;en;1;Juan Funk;0;1;;"";"";"";19;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;
21;2025-01-29 11:08:16 UTC;Voluptas minima provident ea necessitatibus soluta sit modi dolorum dolores qui eum natus laborum vel id impedit dolor ut eos officia consequatur et doloremque quam et ut aliquid quas tempora et exercitationem aut et deleniti pariatur non architecto rerum hic omnis nihil laudantium excepturi adipisci amet enim quidem aspernatur praesentium.;en;13;Prof. Jenni Bruen;0;0;;"";"";"";5;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;
22;2025-01-29 11:08:16 UTC;Exercitationem qui qui praesentium minus occaecati eligendi quis suscipit iure repellat porro velit aut nostrum laborum perferendis quo quia enim pariatur non et quia explicabo quae veritatis vel omnis culpa reiciendis optio est maiores qui ipsa magni sint quia omnis distinctio quasi in veniam minima harum hic eos illo quisquam.;en;13;Prof. Jenni Bruen;0;1;;"";"";"";21;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;
23;2025-01-29 11:08:16 UTC;Et dolor qui consequatur asperiores non quae optio facere consequuntur aut sed omnis id facilis pariatur ut aut sed quis quasi eligendi ut aliquam aperiam odio reprehenderit voluptas distinctio corporis dicta eum perspiciatis aut architecto vel sit earum velit cum amet atque quia est neque quis rerum et aliquid voluptas.;en;1;Juan Funk;0;0;6;;;;5;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;Hackett-Pouros
24;2025-01-29 11:08:16 UTC;Aut occaecati repellat ipsa quam distinctio consequatur minus praesentium odio illo recusandae voluptas quos magni amet laborum fugit et quaerat iste ratione id nisi provident in veritatis quod neque voluptas dolores placeat sed consequatur est dolore sit qui cum perspiciatis rerum voluptatem omnis qui autem nobis porro quasi tempora voluptatem.;en;13;Prof. Jenni Bruen;0;1;;"";"";"";23;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;
25;2025-01-29 11:08:16 UTC;Et porro perspiciatis vero aliquam impedit molestias qui consequatur id rem voluptatum at et alias delectus inventore deserunt autem a velit beatae ipsum consequatur ut eos placeat sapiente voluptas quo sit quis sit fugiat laudantium quis dignissimos necessitatibus et aut tempore fugit ut ducimus est eaque natus dolore iste pariatur.;en;1;Juan Funk;0;0;;"";"";"";5;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;
26;2025-01-29 11:08:16 UTC;Magni at molestias architecto nam veniam recusandae cumque expedita modi impedit quo consequatur facilis omnis veritatis et esse qui voluptas ut aspernatur fugiat nihil voluptatem magnam cum officiis adipisci nisi officia pariatur enim doloremque tenetur quisquam ullam optio unde laudantium doloribus fuga explicabo omnis molestiae perspiciatis in libero autem vitae.;en;13;Prof. Jenni Bruen;0;1;;"";"";"";25;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;
27;2025-01-29 11:08:16 UTC;Sed eaque voluptatem expedita dolores tempora vel mollitia nulla dolore hic reiciendis quibusdam commodi rerum modi pariatur laboriosam tenetur odit dicta quas officia provident odio omnis qui et aperiam dolor consequatur in fugiat voluptas sit minima amet ea aliquid facere iusto ex consequatur consequuntur a accusamus eum asperiores ipsa maxime.;en;14;Dr. Robby Gislason;0;0;;"";"";"";6;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/6;
28;2025-01-29 11:08:16 UTC;Enim qui nulla sint aut perferendis veniam inventore non eum quod porro aliquid dolor ea possimus magnam consequuntur quos nam sit nostrum praesentium eligendi dolor corporis aliquam amet ipsa fugiat est nisi molestiae et dolore sequi maxime qui aut nihil quas earum illum sed voluptates animi aut voluptatum ut eos.;en;1;Juan Funk;0;1;;"";"";"";27;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/1/results/6;
29;2025-01-29 11:08:17 UTC;Voluptatem eos dolorum at mollitia voluptatem quasi ab et qui qui necessitatibus perspiciatis voluptatum eum et iusto quas totam placeat est modi autem molestiae voluptatem consequatur libero et nemo ullam sunt rerum tempore corporis qui quidem provident molestias fugit dolores accusamus recusandae esse sit id qui est dicta doloremque nisi.;en;13;Prof. Jenni Bruen;0;0;;"";"";"";6;Decidim::Accountability::Result;https://nightly.decidim.org/processes/premium-horizon/f/1/results/6;
