"url","Author","published_at","Title","text","_url_input"
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NjI=","Camille Chaline","3 mai 2020","Discussion de confinés","Discussion de confinés
2030, deux amis échangent par message sur leur prochain confinement. Tous les ans, depuis dix ans, à partir du mois de mars, le monde est confiné pendant plusieurs semaines pour éviter la possible propagation d'un nouveau virus.
Léo : Regarde l’article de Usbek & Rica. Ils font une rétrospective de tous les confinements depuis 2020 ! (l’article : La planète fête les 10 ans du confinement !)
Eve : Déjà 10 ans ! :) :o le temps passe vite ! le Bac à la maison, c’était quand même sympa.
Léo : C’est vrai que l’on se plaignait.. C’était l’enfer avec les parents, maintenant qu’est ce qu’on le vit bien. Tu es prêt pour le nouveau confinement qui commence dans deux semaines ?
Eve : Je suis prête ! Avec mes voisins, on a préparé le potager pour être autosuffisants les deux prochains mois, comme dab quoi. Cette année, je passe Responsable Agrumes. Le printemps prévoit d’être chaud, idéal pour mes citrons de Menton.
Léo : Trop bien ! De mon côté, j’ai téléchargé le programme de développement personnel confinement de l’Institution du .... Son programme a été téléchargé plus de 2 000 000 de fois l’année dernière. 
Eve : Je trouve ça chiant ces programmes, encore un qui surfe sur les confinements annuels ! Va aider les sans-abris, ça a une vraie utilité.
Léo : En parlant d’utilité, mon petit frère intègre le Bac Métiers Essentiels.
Eve : C’est vraiment top ces nouveaux bacs, j’aurais aimé en avoir un comme ça. Je commence justement après le confinement une nouvelle mission de consulting pour accompagner les entreprises à survivre pendant cette période.
Alexandre, Camille et Lucie","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NjI="
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NjE=","Marie Claire desbats","2 mai 2020","RDV avec moi même 2","RDV avec moi même 2 
 
Chamboulée
Suite à mon premier écrit de confinée, RDV avec moi-même, quelques semaines sont passées … 
Je suis terriblement chamboulée, malgré toutes mes activités qui furent des plaisirs retrouvés ou enfin révélés, des plaisirs simples mais nombreux , une grande peur m’envahit ! 
La peur s’impose malgré mes refus, à n’importe quel moment et je l’a connais bien cette peur là, c’est celle qui me donne mal au cœur.
Je l’ai rencontrée pour la 1ere fois il y a longtemps lors de mon 1er isolement (Accident de la route)
Un isolement rapide nécessaire pour survivre, non compris et traumatisant par la petite fille qui le ressenti comme un abandon …
Bien sûr que c’était la solution et la vie a dit OUI mais la peur, elle, ne m’a jamais quittée. 
Des années durant, en arrière pensée, la petite fille devait être très sage et ne pas décevoir pour que ça n’arrive plus d’être « abandonnée » comme cela 
Elle ne savait pas grand-chose de l’accident, mais elle savait trop qu’elle s’était retrouvée seule, dans cet endroit inconnu …et des gens inconnus …pourtant bien gentils !
Devenue Hypersensible, mes larmes régulières agacent ou font rire, certains aiment bien les voir couler ça leur donne du pouvoir. 
Je tente donc, de longues années durant, de me construire un environnement qui me rassure, en priorité un petit chez moi chaleureux et des relations si possible bienveillantes et qui durent dans le temps 
50 ans à bâtir cela, tant bien que mal, épargnons les « détails » plusieurs hospitalisations à chaque fois en solitaire…
Mars 2020 : une nouvelle parenthèse grave inattendue s’impose mais je suis isolée « chez moi » donc pour la 1ere fois je connais l’endroit : Moindre mal ! Mon chez moi, , mon fils, mes occupations, mes fleurs et même … du repos … 
Seulement voilà … je comprends que dès que nous serons « déconfinés » même les repères que j’avais acquis comme « repères petit confort pourtant simples mais rassurants à l’extérieur » vont eux aussi être chamboulés !
Je crois que j’ai plus peur de la peur que du virus !
Comme jadis plus peur de la peur qu’inquiète de mon état suite à l’accident ?
J’ai écrit ce tetit texte hier en allant voir mes semis :
Voici la famille Cosmos une grande famille :
Si je suis trop impatiente de les séparer pour les mettre en pleine terre, ils risquent de ne pas être prêts pour cette séparation et de ne pas s'épanouir correctement... Et si le petit à gauche est écarté par accident ou maladresse, il s'en remettra peut être mais un peu bancale avant de retrouver les forces nécessaires grâce à du soutien, de l'amour de l'attention qui lui redonneront confiance car il est dirait on un peu plus fragile et isolé depuis le début … 
Il réclame son attention ! Mais les autres veulent avancer eux, sans être retardés, C’est quand même un peu chacun pour soi au bout d’un moment !
Tout du moins, c’est ce qu’ont décidé la plupart des gens !
Prochaine écriture : Les jours d’après qui me plairaient …","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NjE="
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTk=","MariKa","2 mai 2020","Bal(l?)ade perchée","Bal(l?)ade perchée
1er mai.
Pas de muguet mais de drôles d’oiseaux croisés.
L'esplanade des Invalides, une corneille jouant à saute-mouton sur un ruban de police.
Puis des ailes, des anges, des oiseaux gravés sur les façades, comme pour nous rappeler que nous aussi, nous nous envolerons un jour.
Au-delà de notre kilomètre, nos 100 kilomètres, et du monde retrouvé, où irons-nous ?
Et puis une poule, et cette dame, à l’allure du chaperon rouge me contant le passé somptueux de ""la rue aux oiseaux"" et comment reconnaître la lune croissante en D et la décroissante en C...
Évoquer Prévert, puis faire un détour par amour.
Rentrer bredouille, reconnaitre une chevelure grise, celle d’une ancienne collègue habitant le quartier, discuter, patienter quelques minutes de plus.
Et là, une femme apparaît à la fenêtre ;
La grâce, perchée sur son balcon tels les oiseaux croisés sur ma route, chante.
Entendre un air d’opéra et puis rentrer chez soi.","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTk="
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTg=","sharlotstoned","29 avril 2020","CONFINÉMENT VOTRE ≠4","CONFINÉMENT VOTRE ≠4 
Clique ici Journal à Bord de Quatrième Semaine 
CONFINÉMENT VOTRE ≠4 
Journal à Bord de Quatrième Semaine 
7>14 avril 2020 - 28'09""
Reillanne, Alpes de Haute Provence 
© Sharlot Stoned 2020","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTg="
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTc=","NATHALIE OHANA","29 avril 2020","Ame d'enfant et confinement","Ame d'enfant et confinement
 Cela faisait 7 semaines que nous étions enfermé chez nous, à Raanana, en Israel. On ne peut pas dire que c'était si désagréable. Il y a ici le beau temps, le petit jardin et surtout ces arbres fruitiers gorgés de trésors qui nous entourent.
Le début du confinement peut s’apparenter pour moi à une longue méditation, entre-coupée de soubresauts et de bavardages. Mais il n'empêche qu’il s’agit d’une longue période d’introspection au cours de laquelle, comme dans la méditation, j’observe les idées qui me traversent. Je les laisse émerger. Je les accueille avec amour et même, parfois, je remercie le confinement de leur avoir donné une véritable place dans ma vie.
L’écriture tous les matins. Des nuits de sommeil, parfois chahutées, mais qui me laissent me souvenir de mes rêves et comprendre ce qui me tracasse. L’amour de mes parents, de mes enfants, de mon mari comme autant de nourritures essentielles pour l’âme. Et puis, le manque, comme meilleur indicateur de ce que je désire. Les paroles de certains amis qui me reviennent. Des souvenirs en flash qui me transpercent. Qui tout simplement sont des indicateurs de celle que je suis et que j’ai mis tant de temps à comprendre.
Comme tous les jours, lundi, je suis sortie à vélo avec ma fille Elsa et nous avons croisé une maman de son école avec un aquarium dans la main. De part et d’autre de la route, avec nos masques et nos casques de vélo, la scène était plutôt cocasse. Et pourtant, chaque rencontre, si furtive, si hasardeuse est une trace de vie sociale qui nous éveille. Alors comme ça, cette maman était en route pour un magasin qui vendait des petits poissons avec un aquarium dans la main…Sur le moment, j’étais sortie sans rien, sans argent entre autres, et je me voyais mal transporter ces petits poissons dans le panier avant de mon vélo qui ne tenait qu’à un fil…
Le lendemain, j’avais espéré que ma fille avait oublié cette idée. J’avais repris mes idées et le contrôle de la situation. Le deconfinement allait avoir lieu prochainement en Israël. Nous allions tenir sans aucune bestiole de ce genre à la maison.
Il est vrai aussi que des voix dissonantes surgissaient.
Apres 7 semaines de confinement, nous étions un peu à court de jeux en tous genres, de films familiaux, de recettes de cuisine-trop-sympa-à-faire-ensemble, de dessins avec ou sans tutorials.
Mais ma fille Elsa attendait que je l’emmène à la boutique de pied ferme. Son plan secret, c’était d’acheter des tortues d’eau et d’en faire la surprise à son frère et sa sœur. Devant son insistance, je m’executais. Seulement, voila, arrivés à la boutique, la sentence est tombée. Les tortues d’eau sont en voie d’extinction donc interdites à la vente. Moitié soulagée, moitié déçue, nous traînions des pieds dans cette boutique où un semblant de normalité régnait tandis que le reste de la ville était quasiment mort.
Et puis, j’ai aperçu une boule noire dans une cage ouverte. Ma fille Elsa s’est approchée. Un petit lapin… Le vendeur a dit quelques mots comme “ce lapin est très spécial, c’est une race à part, regardez ces oreilles” et quelque chose en moi a lâché. Brutalement. J’ai essayé de le cacher à ma fille, de rester maître de la situation, mais je voulais ce lapin encore plus qu’elle. Impossible d’expliquer. C’est mon âme d’enfant qui a parlé. Qui a crié même. Qui s’est enfuie de mon corps d’adulte.
Depuis le début du confinement, je donnais des cours en ligne sur l’éveil de la créativité. Sur le lâcher prise. J’expliquais que la créativité ne pouvait surgir qu’à condition qu’on renoue avec son âme d’enfant. Car c’était là que logeait notre âme artiste. Ce petit lapin noir était venu pour me ramener dans ma maison intérieure.
Toutes mes objections habituelles d’adulte contrôlante sont tombées face à la beauté de cet animal. Je me suis laissée porter par le moment et je n’ai plus réfléchi. Quand le vendeur s’est mis à nous donner des indications de comment s’en occuper, de son prix, parler du format de la cage adéquate, je n’étais déjà plus là. Aucune de ses paroles n’est arrivée à moi. J’étais ailleurs. Transportée dans l’instant et aussi en train d’accomplir un voyage dans le temps. Au temps de mon enfance, en train de côtoyer mon enfant artiste qui sommeillait depuis si longtemps mais qui n’attendait qu’une petite occasion pour surgir et me rendre vivante.
Notre petit lapin noir s’appelle “Leila”. “Leila, comme la nuit en Hébreu” ont décrété mes enfants. “Avec Leila, la nuit ne nous fera plus peur”. Et dès qu’ils ouvrent les yeux et qu’il fait jour, c’est à Leila qu’ils pensent.
Leila est noire comme la nuit mais apporte déjà sa lumière.","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTc="
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTY=","anne sophie VERGNE","27 avril 2020","Le jour où je me suis dis ""Rien ne sera plus comme avant""","Le jour où je me suis dis ""Rien ne sera plus comme avant""
La France est en quarantaine.
La France est en confinement.
Trois milliards de personnes dans le monde sont en confinement.
On nous le répète chaque jour ""rien ne sera plus comme avant"".
Il y a 10 ans, c'était au mois d'avril et pour la première fois de ma vie je me suis dis ""rien ne sera plus comme avant"". Ce n'était pas des mots c'est devenu une réalité.
Il y a 10 ans, le cancer est venu frapper à ma porte. 
A 30 ans, tout se bouscule, la peur n’a jamais été aussi palpable qu’à l’instant de cette annonce. Un jour ordinaire. Je me souviendrai toute ma vie de cet appel. Celui que personne ne veut recevoir : 
« Bonjour Mademoiselle Vergne, c’est le docteur Quenet à l’appareil, j’ai reçu vos résultats. Pouvez-vous passer me voir au cabinet aujourd’hui ? » 
A cet instant-là, je comprends la sensation 'd’avoir le sol qui se dérobe sous les pieds'. 
Je comprends que ce n’est pas un jour ordinaire.
Ce jour d’avril, je remercie cette gynécologue pour ses mots délicats, son professionnalisme et sa redoutable efficacité. La semaine suivante, elle m’avait obtenu un RDV avec un spécialiste pragmatique et surprenant dans ses mots : 
« Vous avez de la chance, un frottis se réalise tous les 2 ans, c’est un contrôle gynéco de routine mais celui-là a été fait au bon moment. Un dépistage précoce de toute forme de cancer, ça sauve des vies. A ce stade du diagnostic, je vais retirer toutes les cellules cancéreuses, grâce à un laser à la technologie pointue. Je vous opère dans 15 jours. » 
Je suis entrée à la clinique un matin, le soir même j’étais chez moi. C’est le principe d’une opération déambulatoire. Peu de gens dans mon entourage ont eu connaissance de cette épreuve car tout a été très vite.
L’annonce.
Le choc de l’information. 
Les rendez-vous médicaux à la chaîne. 
Le niveau de concentration qui diminue et l’esprit qui mouline en permanence. 
Le sommeil perturbé. 
L'isolement, le « pas envie de se raconter » associé au « pas envie de se plaindre ». 
Et puis « la chance » comme avait dit le chirurgien, définitivement la chance d’avoir eu ce diagnostic à un stade si peu avancé, qu’il était juste un AVERTISSEMENT pour me dire que la Vie c’est maintenant. :-)
Il n’était pas question de ralentir, au contraire j’ai considéré que la vie me disait :
« Tu fais bien de profiter car mardi, tout va bien et mercredi, tout peut basculer ». 
Je ne pense presque jamais à cet épisode de ma vie. C’était il y a 10 ans. Mais quelque part inconsciemment, il a nourri ce besoin de vivre et de profiter à 2000%.
Ce cauchemar a changé la nature de mes rêves.
RIEN NE SERA PLUS COMME AVANT.
Faut-il une souffrance pour aimer plus sa vie ? Je ne le crois pas mais il est vrai qu’à cause ou grâce à un événement, on acte un changement, on adopte une nouvelle façon de penser ou d’appréhender les choses.
Parfois le corps nous dit stop, AUJOURD’HUI c’est la planète qui nous dit STOP. 
Comme un avertissement.
Nous faut-il des situations extrêmes, de maladie, d’isolement ou de CONFINEMENT ? Peut-être. Mais il n’est jamais trop tard pour se demander :
Qu’est-ce que je laisse derrière moi ?
Quelle direction je vais prendre après cette épreuve ?
3 milliards de personnes confinées c’est potentiellement 3 milliards de résolutions possibles pour CHANGER LE MONDE. N’attendons pas que cela vienne des hautes autorités, le changement commence par soi, sans attendre le pire. 
Un avertissement est l'espoir du début d'un nouvel après, où rien ne sera plus comme avant...","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTY="
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTU=","sharlotstoned","27 avril 2020","CONFINÉMENT VOTRE ≠3","CONFINÉMENT VOTRE ≠3 
Clique ici > Journal à Bord de Troisième Semaine 
CONFINÉMENT VOTRE ≠3 
Journal à Bord de Troisième Semaine 
31_03 > 06_04 2020 - 19'43""
Reillanne, Alpes de Haute Provence 
© Sharlot Stoned 2020","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTU="
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTQ=","lucie_c","23 avril 2020","Lettre à ma Maman","Lettre à ma Maman","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTQ="
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTM=","cbernard","22 avril 2020","Lettre d'un lopin de terre","Lettre d'un lopin de terre
Préambule : le récit ci-dessous est une lettre d’un lopin de terre pour lui-même. Celle ci est écrite dans le futur et a pour destinataire son passé. Un mot d’avenir.
Le cycle des trois saisons.
Cher moi des années 20,
Ca y est, on y est ! Je suis soulagé de pouvoir t’écrire sur ce que je vis présentement. 
Le mois d’octobre bat son plein, mais saches que le printemps est déjà là. Les cerisiers sont en fleurs. Je n’ai cependant pas vu beaucoup d’abeilles, elles se font rares depuis quelques années. Les feuilles ne sont déjà plus jaunes. Elles n’ont pas fini leur course dans ma parcelle. Les feuilles qui m’effleurent, ce n’est plus qu’un jolie souvenir.
On aura vécu grâce à eux des moments magnifiques ; les arbres prenaient racines, le bétail sauvage se nourrissait de mes offrandes, nous ressentions les amours de jeunesse batifoler sur ma peau. On aura aussi souffert de leurs pas, de leurs poids. Parfois une moissonneuse, parfois des immeubles. C’est toujours mieux qu’une mine tu me diras. Tu te rappelles à quel point tu en a pris des coups, tu te souviens comment c’était. 
Ceux qui me piétinent ont connu les guerres, les crises démographiques et sanitaires… Ces humains t’ont oublié. 
Les avertissements de notre Mère - tels que les crises biologiques, le dérèglement climatique, les inondations, etc. - ont porté leurs fruits. Ceux qui avaient pu me rejoindre ont innové dans leur mode de consommation.
Tu ne vas pas le croire ? Ils avaient délaissé leur tendre et bien-aimée ville. Ils me regardaient de nouveau. J’ai appris la nouvelle qu’au fur et à mesure. Comme tu peux te l’imaginer, je n’avais pas encore la fibre dans ma chair.
Mais ils n’ont pas pu tous échapper à leur rythme effréné pour venir me retrouver ; ils ont abandonné les plus pauvres, ils ont renforcé les inégalités dans une individualité exacerbée. Tout cela pour une vie qu’ils n’ont jamais souhaité. 
Mais reste optimiste ! Tu as connu de beaux jours, le ciel s’assombrira prochainement mais leur résilience te sauvera. Certains ont tout fait pour veiller sur toi. Maman était leur unique maison, leur unique radeau de survie.
Je ne peux pas te promettre que les vingt prochaines années seront les plus belles mais j’ai hâte que tu me rejoignes. Ce que l’on a aujourd’hui est plutôt agréable : il y a la mer à côté, je ne l’avais jamais vu. Lorsqu’elle est arrivée, je les ai vu partir précipitamment, je ne sais pas trop où ils sont ; certains disent qu’ils reviendront. J’espère qu’ils n’ont pas été faire ça ailleurs.
Moi-même, 2040.","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTM="
"https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTI=","Maxcies","21 avril 2020","Mon Journal","Mon Journal
 An XV après la Catastrophe- 23 Septembre 
 
Je me réveille comme tous les matins avec une sensation d’incertitude mêlée à la peur habituelle. 
La Catastrophe a eu lieu il y a maintenant longtemps, mais j'ai chaque jour l'impression que c'était hier, et que ça pourrait arriver encore aujourd’hui et demain. Je sors de mon lit pour mettre le premier pas sur la terre ferme. Je regarde autour de moi et constate que le feu s’est encore éteint. Il faudra que je prévois du temps en fin d'après-midi pour le rallumer. Mais l’environnement autour de moi n’est pas sûr, j’ai pu constater hier que plusieurs branches d’arbres avaient été arrachées et des traces suspectes sont visibles aux alentours.
Au moment où j’écris ces lignes, je me demande ce que devient Lydia. Je pense à elle à chaque instant depuis notre séparation. La Catastrophe a tout balayé sur son chemin, me laissant seul, avec moi même. Je me souviens que nous avions l’habitude de rire des mêmes choses que nous trouvions sur internet, Lydia les adorait. Aujourd’hui, plus d’internet, ni de Lydia, pour rire ensemble.
 
 An XV après la Catastrophe- 11 Novembre
 
Je n’ai pas eu l’envie d’écrire ces temps-ci, mais quelque chose d’inhabituel m’est arrivé. Je ne suis plus seul. Les traces de pas que j’avais observées étaient en fait celle de chiens égarés. J'en ai retrouvé un, le seul survivant autour de sa mère et parmi trois autres chiots que j´ai trouvé un peu plus loin. Il était frigorifié, et, quand je l’ai trouvé, il gémissait de faim.
Je vais devoir arrêter d’écrire pour aujourd’hui. Je dois m’en occuper, c’est ce que Lydia aurait voulu. 
 An XV après la Catastrophe- 12 Novembre 
Il s’est avéré que le petit chiot recueilli hier est en fait une femelle. Elle a le regard pétillant et son énergie me fait penser à celle de Lydia… 
Comme elle, Lydia adorait être près de moi. Ce petit chiot ne remplacera jamais mon application, il ne pourra pas rire à nos blagues. J’ai décidé de la nommer comme elle, Lydia. Je ne suis plus seul.","https://brightmirror.bluenove.com/brightmirror/debate/35/theme/SWRlYToxMDg2/fictions/UG9zdDo2NTI="
